rank	word	en	ru	ex1	ex2
1567	դժգոհ	displeased, dissatisfied, discontented	недовольный	Արդյունքից դժգոհ մնացի — Я остался недоволен результатом	
1568	բույր	aroma, fragrance, pleasant smell	аромат, благоухание	Ծաղիկների բույրը տարածվեց սենյակում — Аромат цветов распространился по комнате	
1569	վայելել	to enjoy	наслаждаться	Վայելում ենք ամառային արձակուրդը — Мы наслаждаемся летним отпуском	
1570	աշխատող	worker, employee	работник, сотрудник	Գործարանի աշխատողները հավաքվեցին — Работники завода собрались	
1571	հաչել	to bark	лаять	Շունը ամբողջ գիշեր հաչում էր — Собака лаяла всю ночь	
1572	ազատել	to free	освобождать	Գերիներին վերջապես ազատեցին — Пленных наконец освободили	Նրան աշխատանքից ազատեցին — Его уволили с работы
1573	կով	cow	корова	Կովը կաթ է տալիս — Корова даёт молоко	
1574	թափ	sweep; power, might; impetuosity; swing	размах; сила, разгон	Թափ առավ ու ցատկեց — Он разогнался и прыгнул	
1575	վրեժ	vengeance; revenge	месть	Վրեժ լուծեց թշնամուց — Он отомстил врагу	
1576	կապել	to tie, to tie up, to bind; to fasten	привязывать, связывать	Շանը ծառին կապեց — Он привязал собаку к дереву	Կոշիկներիդ քուղերը կապիր — Завяжи шнурки на ботинках
1577	ասեղ	needle	игла, иголка	Կոճակը ասեղով կարեց — Она пришила пуговицу иголкой	
1578	հետև	then, afterwards	сзади, позади	Նա կանգնած էր իմ հետևում — Он стоял позади меня	Հետևից մի ձայն լսվեց — Сзади послышался голос
1579	վճարել	to pay	платить	Հաշիվը ես կվճարեմ — Счёт оплачу я	
1580	ամբողջովին	completely	полностью, целиком	Քեզ հետ ամբողջովին համաձայն եմ — Я полностью с тобой согласен	
1581	դադարել	to end, to stop	прекращаться, переставать	Անձրևը վերջապես դադարեց — Дождь наконец прекратился	
1582	ճաշկերույթ	dinner party, banquet	банкет, званый обед	Ճաշկերույթին շատ հյուրեր կային — На банкете было много гостей	
1583	ճամփորդություն	trip, voyage	путешествие, поездка	Հիշարժան ճամփորդություն էր — Это было памятное путешествие	
1584	ող	vertebra	позвонок	Ողնաշարը կազմված է ողերից — Позвоночник состоит из позвонков	
1585	շքեղ	superb, splendid, magnificent	роскошный, великолепный	Շքեղ հյուրանոցում մնացինք — Мы остановились в роскошном отеле	
1586	գնդակ	ball	мяч	Երեխաները բակում գնդակ են խաղում — Дети играют в мяч во дворе	
1587	հուշարձան	monument; memorial	памятник	Քաղաքում նոր հուշարձան բացվեց — В городе открыли новый памятник	
1588	հրապարակ	square, piazza	площадь	Հանդիպենք Հանրապետության հրապարակում — Встретимся на площади Республики	
1589	տառապել	to suffer, to endure, to bear	страдать	Նա գլխացավերից է տառապում — Он страдает от головных болей	
1590	ավարտել	to finish, to end	заканчивать	Աշխատանքը ժամանակին ավարտեցինք — Мы вовремя закончили работу	Նա համալսարանն ավարտեց — Он окончил университет
1591	գեներալ	general	генерал	Գեներալը հրաման տվեց — Генерал отдал приказ	
1592	դժոխք	hell	ад	Այնտեղ իսկական դժոխք էր — Там был настоящий ад	
1593	կպչել	to stick , cling	прилипать, приставать	Ցեխը կպավ կոշիկներիս — Грязь прилипла к моим ботинкам	
1594	վնասել	to harm, damage	вредить, повреждать	Ծխելը վնասում է առողջությանը — Курение вредит здоровью	
1595	արժանի	worthy, worth, deserving	достойный	Նա գովասանքի արժանի է — Он достоин похвалы	
1596	թաց	wet, soggy, moist	мокрый, влажный	Թաց շորերը փոխիր — Смени мокрую одежду	
1597	գաղտնի	secret, clandestine	тайный, секретный	Նրանք գաղտնի հանդիպում ունեցան — У них была тайная встреча	
1598	զուրկ	deprived of, devoid of	лишённый	Իմաստից զուրկ վեճ էր — Это был спор, лишённый смысла	
1599	լեցուն	full, filled	полный, наполненный	Սիրով լեցուն նամակ գրեց — Он написал письмо, полное любви	
1600	ճարտարապետություն	architecture	архитектура	Հայկական ճարտարապետությունը շատ հին է — Армянская архитектура очень древняя	
1601	դարման	medicine, cure, remedy	лекарство; средство	ամեն ցավի դարման կա — от всякой боли есть средство	
1602	հո	right?, isn't it so?	ведь; же	դու հո չե՞ս մոռացել — ты ведь не забыл?	դա հո գաղտնիք չէ — это ведь не секрет
1603	նահանգ	province, state	штат; провинция	նա ապրում է Կալիֆոռնիա նահանգում — он живёт в штате Калифорния	
1604	կրտսեր	youngest	младший	կրտսեր եղբայրս դպրոցական է — мой младший брат школьник	
1605	կազմակերպություն	organization	организация	միջազգային կազմակերպություն — международная организация	
1606	պարկ	large bag, sack	мешок	մի պարկ ալյուր գնեցինք — мы купили мешок муки	պարկը ուսին գցեց — он закинул мешок на плечо
1607	հեղինակ	author	автор	գրքի հեղինակին ճանաչում եմ — я знаю автора книги	
1608	ավել	broom, besom	веник	ավելով ավլեց բակը — он подмёл двор веником	
1609	գրություն	writing, something written : letter, note, memorandum	записка; письмо; надпись	պաշտոնական գրություն ստացավ — он получил официальное письмо	պատին գրություն կար — на стене была надпись
1610	հովիվ	shepherd, herdsman	пастух	հովիվը արածեցնում է հոտը — пастух пасёт стадо	
1611	կատար	top, summit, peak	вершина	լեռան կատարը ձյունածածկ է — вершина горы покрыта снегом	
1612	ձկներ	Pisces .	Рыбы (знак зодиака)	Իմ նշանը Ձկներն է — мой знак зодиака Рыбы	
1613	ընդհատել	to interrupt	прерывать; перебивать	մի ընդհատիր ինձ — не перебивай меня	զրույցը ստիպված ընդհատեցինք — нам пришлось прервать разговор
1614	պաշտել	to worship	обожать; поклоняться	նա պաշտում է իր մորը — он обожает свою мать	հին մարդիկ արևին էին պաշտում — древние люди поклонялись солнцу
1615	վկա	eyewitness, witness	свидетель	նա դեպքի վկան էր — он был свидетелем происшествия	Աստված վկա, ես չգիտեի — Бог свидетель, я не знал
1616	հում	raw, uncooked	сырой	հում միս մի կեր — не ешь сырое мясо	
1617	ինքնուրույն	independent, self-determined	самостоятельный	երեխան ինքնուրույն է հագնվում — ребёнок одевается самостоятельно	ինքնուրույն աշխատանք — самостоятельная работа
1618	կենցաղ	way of life, mode of life	быт; уклад жизни	գյուղական կենցաղ — сельский быт	
1619	կարգավիճակ	status	статус	նրա կարգավիճակը փոխվել է — его статус изменился	ամուսնական կարգավիճակ — семейное положение
1620	ավերակ	ruined, desolate	разрушенный; руины	քաղաքն ավերակ էր դարձել — город превратился в руины	հին բերդի ավերակները — руины старой крепости
1621	ցեղ	tribe	племя	քոչվոր ցեղեր — кочевые племена	
1622	հզոր	mighty, powerful	мощный; могучий	հզոր պետություն — мощное государство	հզոր շարժիչ — мощный двигатель
1623	նմանություն	similarity, resemblance	сходство	նրանց միջև մեծ նմանություն կա — между ними большое сходство	
1624	բարձրություն	height	высота	հազար մետր բարձրության վրա — на высоте тысячи метров	շենքի բարձրությունը հասնում է քսան մետրի — высота здания достигает двадцати метров
1625	կղզի	island, isle	остров	նավը մոտեցավ կղզուն — корабль приблизился к острову	
1626	հասցնել	to deliver, to bring	доставлять; довозить	ինձ կայարան հասցրու — довези меня до вокзала	նամակը տեղ հասցրին — письмо доставили по назначению
1627	բարեկամություն	friendship; relationship	дружба; родство	մեր բարեկամությունը ամուր է — наша дружба крепка	երկու ընտանիքների բարեկամությունը — родство двух семей
1628	նախարար	nakharar	нахарар (князь)	հայ նախարարների տոհմերը — роды армянских нахараров	
1629	խորք	depth	глубина	ծովի խորքերում — в глубинах моря	հոգու խորքում — в глубине души
1630	հիշեցնել	to remind	напоминать	հիշեցրու ինձ վաղվա հանդիպման մասին — напомни мне о завтрашней встрече	նա հորն է հիշեցնում — он напоминает своего отца
1631	տոմս	ticket	билет	երկու տոմս գնեցի — я купил два билета	
1632	հարավային	southern, south	южный	հարավային քամի է փչում — дует южный ветер	երկրի հարավային մասը — южная часть страны
1633	համեմատել	to compare	сравнивать	մի համեմատիր ինձ նրա հետ — не сравнивай меня с ним	
1634	պետություն	state, country, nation	государство	անկախ պետություն — независимое государство	պետության ղեկավար — глава государства
1635	փախստական	fugitive, runaway	беженец; беглец	փախստականների ճամբար — лагерь беженцев	
1636	սահման	boundary, border	граница; предел	սահմանը փակ է — граница закрыта	ամեն ինչ սահման ունի — всему есть предел
1637	ներառել	to include, involve	включать	գինը ներառում է նախաճաշը — цена включает завтрак	
1638	բացահայտել	to reveal, uncover, discover	раскрывать; обнаруживать	ոստիկանությունը բացահայտեց հանցագործությունը — полиция раскрыла преступление	նոր տաղանդ բացահայտեցին — открыли новый талант
1639	փրկել	to save, to rescue	спасать	բժիշկները փրկեցին նրա կյանքը — врачи спасли его жизнь	նա փրկեց իրավիճակը — он спас ситуацию
1640	վճռական	definite, determined, resolute	решительный	վճռական քայլ արեց — он сделал решительный шаг	վճռական պահին — в решающий момент
1641	գործնական	practical	практический; деловой	գործնական խորհուրդ տվեց — он дал практический совет	գործնական հանդիպում — деловая встреча
1642	փաստ	fact	факт	դա փաստ է — это факт	փաստերը վկայում են — факты свидетельствуют
1643	ծնել	to give birth, to bear	родить; рождать	նա երկու երեխա է ծնել — она родила двоих детей	
1644	արքա	king, monarch	царь; король	արքան հրաման արձակեց — царь издал указ	
1645	աղյուս	brick	кирпич	տունը կարմիր աղյուսից է — дом из красного кирпича	
1646	քշել	to chase away, to drive away	прогонять; гнать	ճանճերին քշիր — прогони мух	քամին ամպերը քշեց — ветер разогнал тучи
1647	լուծել	to solve	решать (задачу)	խնդիրը լուծեցինք — мы решили задачу	հարցը լուծված է — вопрос решён
1648	ժողովածու	collection	сборник	բանաստեղծությունների ժողովածու — сборник стихов	
1649	վիպակ	short novel	повесть	նա նոր վիպակ գրեց — он написал новую повесть	
1650	հարկավոր	needed, necessary	нужный; необходимый	ինձ քո օգնությունն է հարկավոր — мне нужна твоя помощь	հարկավոր չէ շտապել — не нужно спешить
1651	կտակ	will, testament	завещание	պապը կտակ թողեց — дед оставил завещание	
1652	ժառանգություն	heritage, inheritance, legacy	наследство; наследие	մեծ ժառանգություն ստացավ — он получил большое наследство	մշակութային ժառանգություն — культурное наследие
1653	զվարթ	happy, cheerful, joyous	весёлый; бодрый	զվարթ տրամադրություն ուներ — у него было весёлое настроение	զվարթ երգ — весёлая песня
1654	արցունք	tear	слеза	աչքերը արցունքներով լցվեցին — глаза наполнились слезами	ուրախության արցունքներ — слёзы радости
1655	հրաման	order, command	приказ	հրաման ստացանք — мы получили приказ	հրաման արձակել — издать приказ
1656	աղետ	catastrophe, tragedy, disaster	катастрофа; бедствие	բնական աղետ — стихийное бедствие	աղետի գոտի — зона бедствия
1657	ջութակ	violin	скрипка	նա ջութակ է նվագում — он играет на скрипке	
1658	դասընթաց	course	курс (занятий)	անգլերենի դասընթացների եմ հաճախում — я хожу на курсы английского	դասընթացն ավարտվեց — курс закончился
1659	ծուխ	smoke	дым	սենյակը ծխով լցվեց — комната наполнилась дымом	ծխի հոտ է գալիս — пахнет дымом
1660	գնալով	gradually, steadily, progressively	постепенно; всё более	գնալով ցրտում է — постепенно холодает	գնալով ավելի լավ է աշխատում — он работает всё лучше
1661	բարձունք	height, elevation	высота; вершина	նոր բարձունքներ նվաճեց — он покорил новые высоты	
1662	խենթ	crazy, mad, foolish	сумасшедший; безумный	խենթ գաղափար է — это безумная идея	խենթի պես վազում էր — он бежал как сумасшедший
1663	ընթացք	movement, course, development	ход; течение	տարվա ընթացքում — в течение года	գործի ընթացքը — ход дела
1664	աշխույժ	lively, vigorous, energetic	живой; бодрый	աշխույժ երեխա է — он живой ребёнок	աշխույժ զրույց — оживлённая беседа
1665	հարազատ	directly related by blood, own	родной	նա իմ հարազատ եղբայրն է — он мой родной брат	հարազատների հետ հավաքվեցինք — мы собрались с родными
1666	շոր	dress	платье; одежда	նոր շոր գնեց — она купила новое платье	շորերդ փոխիր — переоденься
1667	իրավամբ	in justice, justly, by right	по праву; справедливо	նա իրավամբ համարվում է լավագույնը — он по праву считается лучшим	
1668	մանկություն	childhood, infancy	детство	մանկությունս գյուղում է անցել — моё детство прошло в деревне	երջանիկ մանկություն — счастливое детство
1669	ծավալ	volume, dimension, total amount	объём	աշխատանքի ծավալը մեծ է — объём работы велик	
1670	անձնական	personal, private, own	личный	դա անձնական հարց է — это личный вопрос	անձնական կյանք — личная жизнь
1671	բավարար	sufficient, satisfactory	достаточный; удовлетворительный	դա բավարար չէ — этого недостаточно	բավարար գնահատական ստացավ — он получил удовлетворительную оценку
1672	բացահայտ	apparent, obvious, known	явный; открытый	բացահայտ սուտ է — это явная ложь	բացահայտ թշնամանք — открытая вражда
1673	էական	substantial, significant	существенный	էական տարբերություն կա — есть существенная разница	դա էական չէ — это несущественно
1674	լրիվ	complete, full	полный; полностью	լրիվ համաձայն եմ — я полностью согласен	անունդ լրիվ գրիր — напиши своё имя полностью
1675	կոպիտ	coarse, rough, crude	грубый	կոպիտ սխալ արեց — он допустил грубую ошибку	կոպիտ մի խոսիր — не говори грубо
1676	համառոտ	short, brief, concise	краткий	համառոտ բովանդակություն — краткое содержание	համառոտ շարադրիր միտքդ — изложи свою мысль кратко
1677	հարաբերական	relative	относительный	ամեն ինչ հարաբերական է — всё относительно	
1678	մակբայ	adverb	наречие	մակբայը խոսքի մաս է — наречие является частью речи	
1679	նվագել	to play an instrument	играть (на инструменте)	նա դաշնամուր է նվագում — он играет на пианино	կիթառ նվագել եմ սովորում — я учусь играть на гитаре
1680	պատկանել	to belong, to belong to, to pertain	принадлежать	այս տունը մեզ է պատկանում — этот дом принадлежит нам	նա այլ սերնդի է պատկանում — он принадлежит к другому поколению
1681	տոպրակ	bag, sack	пакет; мешочек	մի տոպրակ խնձոր առա — я купил пакет яблок	տոպրակը պատռվեց — пакет порвался
1682	տարատեսակ	heterogeneous, diverse, variegated	разнообразный	խանութում տարատեսակ ապրանքներ կան — в магазине есть разнообразные товары	
1683	գեղարվեստական	artistic, art, arts	художественный	գեղարվեստական ֆիլմ դիտեցինք — мы посмотрели художественный фильм	գեղարվեստական գրականություն — художественная литература
1684	տեխնիկական	technological	технический	տեխնիկական խնդիր առաջացավ — возникла техническая проблема	
1685	մասնավորապես	in particular, in part	в частности	քննարկեցինք շատ հարցեր, մասնավորապես գները — обсудили многие вопросы, в частности цены	
1686	ենթակայություն	subjection, dependence	подчинение; зависимость	նրա ենթակայության տակ տասը մարդ կա — в его подчинении десять человек	
1687	ավանդույթ	tradition	традиция	ընտանեկան ավանդույթ — семейная традиция	ավանդույթները պահպանում ենք — мы сохраняем традиции
1688	վերջավորություն	ending, end	окончание	բառի վերջավորությունը — окончание слова	հոգնակիի վերջավորություն — окончание множественного числа
1689	վերլուծական	analytic, analytical	аналитический	վերլուծական միտք ունի — у него аналитический ум	վերլուծական հոդված — аналитическая статья
1690	լրացում	supplementation	дополнение	օրենքում լրացումներ արվեցին — в закон внесли дополнения	
1691	զբոսաշրջիկ	tourist	турист	քաղաքը լի է զբոսաշրջիկներով — город полон туристов	զբոսաշրջիկների խումբ — группа туристов
1692	ուղեկցել	to accompany	сопровождать	նա ինձ ուղեկցեց մինչև կայարան — он проводил меня до вокзала	
1693	բանջարեղեն	vegetables	овощи	շուկայից թարմ բանջարեղեն առա — я купил на рынке свежие овощи	բանջարեղենի աղցան — овощной салат
1694	լատիներեն	Latin	латынь; латинский	նա լատիներեն է սովորում — он учит латынь	լատիներեն արտահայտություն — латинское выражение
1695	համերաշխ	in harmony	дружный; в согласии	նրանք համերաշխ ընտանիք են — они дружная семья	հարևանները համերաշխ են ապրում — соседи живут в согласии
1696	հրամայել	to order	приказывать	հրամայեց անմիջապես վերադառնալ — он приказал немедленно вернуться	ինձ մի հրամայիր — не приказывай мне
1697	խռովել	to get alienated	обидеться; надуться	երեխան ինձնից խռովել է — ребёнок на меня обиделся	մի խռովիր, կատակում էի — не обижайся, я шутил
1698	ժայռ	cliff	скала	ժայռի եզրին կանգնեց — он встал на краю скалы	ծովափի ժայռերը — прибрежные скалы
1699	բազմանալ	to breed	размножаться	նապաստակներն արագ են բազմանում — кролики быстро размножаются	
1700	մորթ	skin	шкура; мех	ոչխարի մորթ — овечья шкура	աղվեսի մորթ — лисий мех
1701	ծառայել	to serve	служить	եղբայրս բանակում է ծառայում — мой брат служит в армии	սա լավ օրինակ է ծառայում — это служит хорошим примером
1702	հեզ	humble	кроткий; смирный	նա հեզ ու խոնարհ մարդ է — он кроткий и смиренный человек	
1703	տարեց	aged	пожилой	տարեց կնոջը տեղ զիջեց — он уступил место пожилой женщине	տարեց մարդիկ — пожилые люди
1704	փայլուն	brilliant	блестящий	փայլուն հաղթանակ տարան — они одержали блестящую победу	փայլուն աչքեր — блестящие глаза
1705	ճարտարապետ	architect	архитектор	Թամանյանը մեծ ճարտարապետ էր — Таманян был великим архитектором	
1706	երկրաբան	geologist	геолог	երկրաբանները նոր հանքավայր գտան — геологи нашли новое месторождение	
1707	լրագրող	journalist	журналист	լրագրողը հարցազրույց վերցրեց — журналист взял интервью	
1708	իրավաբան	lawyer	юрист	իրավաբանի հետ խորհրդակցիր — посоветуйся с юристом	
1709	ոստիկան	policeman	полицейский	ոստիկանը կանգնեցրեց մեքենան — полицейский остановил машину	
1710	ժլատ	stingy	скупой	նա շատ ժլատ մարդ է — он очень скупой человек	
1711	կոկիկ	neat	аккуратный; опрятный	կոկիկ ձեռագիր ունի — у него аккуратный почерк	սենյակը կոկիկ է — комната опрятная
1712	թուխ	dark (about people)	смуглый	նա թուխ մաշկ ունի — у него смуглая кожа	թուխ դեմքով տղա — смуглолицый парень
1713	ոսկեգույն	gold-colored	золотистый	ոսկեգույն մազեր ունի — у неё золотистые волосы	ոսկեգույն աշուն — золотая осень
1714	վերմակ	blanket	одеяло	տաք վերմակով ծածկվեց — он укрылся тёплым одеялом	վերմակի տակ մտավ — он залез под одеяло
1715	բողբոջ	bud	почка; бутон	գարնանը բողբոջները բացվում են — весной почки раскрываются	
1716	կարոտել	to miss	скучать (по)	քեզ շատ եմ կարոտել — я очень по тебе соскучился	տունս եմ կարոտել — я соскучился по дому
1717	վանդակ	cage	клетка	թութակը վանդակում է — попугай в клетке	վանդակի դուռը բաց էր — дверца клетки была открыта
1718	մրցել	to compete	соревноваться	թիմերը միմյանց հետ մրցում են — команды соревнуются друг с другом	
1719	արձակուրդ	vacation	отпуск; каникулы	արձակուրդի մեջ եմ — я в отпуске	ամառային արձակուրդներ — летние каникулы
1720	տոնել	to celebrate	праздновать	ծննդյան օրը միասին տոնեցինք — мы вместе отпраздновали день рождения	Նոր տարին տանն ենք տոնում — Новый год мы празднуем дома
1721	ահ	fear, fright; dread, terror; anxiety	страх; ужас	ահից դողում էր — он дрожал от страха	ահ ու սարսափի մեջ էին — они были в страхе и ужасе
1722	կենացդ	cheers!	за твоё здоровье!	Կենացդ, սիրելի ընկեր — за твоё здоровье, дорогой друг	
1723	ամսական	monthly	ежемесячный; месячный	ամսական վարձավճար — ежемесячная плата	ամսական մեկ անգամ ենք հանդիպում — мы встречаемся раз в месяц
1724	նշանված	engaged (to be married); marked	помолвленный; отмеченный	նրանք նշանված են — они помолвлены	քարտեզի վրա նշանված տեղը — место, отмеченное на карте
1725	տատ	grandmother	бабушка	տատս հեքիաթ պատմեց — бабушка рассказала сказку	տատս գյուղում է ապրում — моя бабушка живёт в деревне
1726	ծանոթանալ	to become acquainted with, to get to know	знакомиться	ուրախ եմ ձեզ հետ ծանոթանալու համար — рад с вами познакомиться	փաստաթղթերին ծանոթացավ — он ознакомился с документами
1727	հազել	to immolate, offer up, sacrifice to idols	жертвовать идолам	նրանք կուռքերին էին հազում — они приносили жертвы идолам	
1728	երևի	probably; perhaps, it appears	наверное; вероятно	երևի նա ուշանում է — наверное, он опаздывает	երևի վաղը կգա — вероятно, придёт завтра
1729	տպավորիչ	impressive	впечатляющий	տպավորիչ ելույթ էր — это было впечатляющее выступление	
1730	շոգ	hot, sultry, making one feel hot	жаркий; жарко	այսօր շատ շոգ է — сегодня очень жарко	շոգ ամառ էր — было жаркое лето
1731	զով	cool, fresh, coldish	прохладный; свежий	զով քամի փչեց — подул прохладный ветер	առավոտը զով էր — утро было прохладным
1732	թիավարել	to row, paddle	грести	նա արագ էր թիավարում — он грёб быстро	
1733	մեկնում	departure	отъезд; отправление	գնացքի մեկնումը հետաձգվեց — отправление поезда отложили	մեկնումից առաջ զանգիր — позвони перед отъездом
1734	մարի	hen, female chicken	курица (самка)	մարին ձու ածեց — курица снесла яйцо	
1735	ամերիկուհի	female American	американка	նա ամերիկուհի է — она американка	
1736	հայուհի	an Armenian woman	армянка	նա հպարտ հայուհի է — она гордая армянка	
1737	իտալիա	Italy	Италия	ամռանը Իտալիա ենք գնալու — летом мы поедем в Италию	
1738	իտալական	Italian	итальянский	իտալական խոհանոց եմ սիրում — я люблю итальянскую кухню	
1739	չինական	Chinese	китайский	չինական թեյ ենք խմում — мы пьём китайский чай	
1740	թուրքերեն	Turkish	турецкий (язык)	նա թուրքերեն է խոսում — он говорит по-турецки	թուրքերեն գիրք — книга на турецком
1741	պարսիկ	Persian	перс	նա ազգությամբ պարսիկ է — он перс по национальности	
1742	հրեա	Jew, Hebrew	еврей	նա հրեա ընտանիքից է — он из еврейской семьи	
1743	ոմն	some, certain	некий; некто	ոմն Արամ քեզ էր փնտրում — тебя искал некий Арам	
1744	մահճակալ	bedstead	кровать	փայտե մահճակալ գնեցինք — мы купили деревянную кровать	մահճակալին պառկեց — он лёг на кровать
1745	հյուրասենյակ	living room	гостиная	հյուրերը հյուրասենյակում են — гости в гостиной	
1746	քանոն	ruler	линейка	քանոնով գիծ քաշիր — проведи линию линейкой	
1747	աստղ	star	звезда	երկինքը լի է աստղերով — небо полно звёзд	նա մեծ աստղ է — она большая звезда
1748	հարցազրույց	interview	интервью; собеседование	հարցազրույց տվեց լրագրողին — он дал интервью журналисту	աշխատանքի հարցազրույցի եմ գնում — я иду на собеседование
1749	համբերել	to be patient, to keep one's patience	терпеть; потерпеть	մի քիչ համբերիր — потерпи немного	այլևս չեմ կարող համբերել — я больше не могу терпеть
1750	զոհ	victim; sacrifice	жертва	վթարի զոհեր չկան — жертв аварии нет	աստվածներին զոհ մատուցեցին — богам принесли жертву
1751	սունկ	mushroom	гриб	անտառում սունկ հավաքեցինք — мы собрали грибы в лесу	սնկով ապուր — грибной суп
1752	ձվածեղ	omelette	омлет	առավոտյան ձվածեղ պատրաստեցի — утром я приготовил омлет	
1753	երշիկ	sausage	колбаса	երշիկով սենդվիչ կերավ — он съел бутерброд с колбасой	
1754	ստուգել	to check, verify, control, inspect	проверять	ուսուցիչը ստուգեց տնային աշխատանքը — учитель проверил домашнее задание	տոմսերը ստուգում են — билеты проверяют
1755	ճաշարան	cafeteria, dining hall	столовая	ճաշարանում ենք ճաշում — мы обедаем в столовой	
1756	գող	thief	вор	գողին բռնեցին — вора поймали	գողերը տուն մտան — воры забрались в дом
1757	կող	rib	ребро	ընկավ ու կողը կոտրեց — он упал и сломал ребро	
1758	ձագ	the young of any animal, baby animal, especially the young of a bird	детёныш; птенец	կատուն ձագեր ունեցավ — у кошки появились котята	թռչունը կերակրում է ձագերին — птица кормит птенцов
1759	օգուտ	use; benefit; good	польза; выгода	դրանից օգուտ չկա — от этого нет пользы	օգուտ քաղեց — он извлёк пользу
1760	էակ	being, creature	существо	կենդանի էակ — живое существо	տարօրինակ էակ տեսավ — он увидел странное существо
1761	ցուցակ	list, roster	список	անունդ ցուցակում կա — твоё имя есть в списке	գնումների ցուցակ կազմեցի — я составил список покупок
1762	չամիչ	dried grape, raisin	изюм	չամիչով կեքս թխեցի — я испёк кекс с изюмом	մի բուռ չամիչ — горсть изюма
1763	առաջնորդ	leader, chief	лидер; вождь	կուսակցության առաջնորդը — лидер партии	ցեղի առաջնորդը — вождь племени
1764	կուտ	seed	зерно (корм)	աղավնիներին կուտ տվեցինք — мы насыпали голубям зерна	թռչունները կուտ են ուտում — птицы клюют зерно
1765	հորաքույր	paternal aunt	тётя (по отцу)	հորաքույրս մեզ հյուր եկավ — тётя пришла к нам в гости	
1766	մորաքույր	maternal aunt	тётя (по матери)	մորաքույրս ինձ նվեր բերեց — тётя принесла мне подарок	
1767	ամուսնանալ	to marry; to get married	жениться; выходить замуж	նրանք գարնանը ամուսնացան — они поженились весной	նա ամուսնացավ օտարերկրացու հետ — она вышла замуж за иностранца
1768	որբ	orphaned	осиротевший; сирота	նա փոքր հասակում որբ մնաց — он остался сиротой в раннем детстве	որբ երեխաներ — дети-сироты
1769	կոր	curved, crooked	кривой; изогнутый	կոր գիծ քաշեց — он провёл кривую линию	ծերունու մեջքը կոր էր — спина старика была сгорблена
1770	մղոն	mile	миля	քաղաքից տասը մղոն հեռու — в десяти милях от города	
1771	պատառ	little, small	кусочек; чуточка	մի պատառ հաց կեր — съешь кусочек хлеба	մի պատառ սպասիր — подожди чуточку
1772	թթու	sour	кислый	խնձորը թթու է — яблоко кислое	թթու կաղամբ — квашеная капуста
1773	երդում	oath, vow	клятва; присяга	երդում տվեց — он дал клятву	երդումը չդրժեց — он не нарушил клятву
1774	դրդել	to spur, to incite, to prod	побуждать; подстрекать	ի՞նչը քեզ դրդեց այդ քայլին — что подтолкнуло тебя к этому шагу?	
1775	վերադարձ	return	возвращение	հայրենիք վերադարձը — возвращение на родину	վերադարձի տոմս — обратный билет
1776	փուռ	oven	печь; пекарня	հացը թխվում է փռում — хлеб печётся в печи	փռից թարմ հաց առա — я купил свежий хлеб из пекарни
1777	կոճակ	button	пуговица, кнопка	վերնաշապիկի կոճակը պոկվեց — пуговица рубашки оторвалась	կարմիր կոճակը սեղմիր — нажми красную кнопку
1778	հովանոց	umbrella	зонт	հովանոցս տանը եմ մոռացել — я забыл зонт дома	անձրև է, հովանոց վերցրու — идёт дождь, возьми зонт
1779	սուգ	mournful, grieving, sorrowful, sad	траур; скорбь	ընտանիքը սգի մեջ է — семья в трауре	
1780	լուսավոր	luminous, bright, brilliant	светлый; яркий	լուսավոր սենյակ է — это светлая комната	լուսավոր ապագա — светлое будущее
1781	տիրել	to dominate, rule over, reign over, lord over	господствовать; владеть	դահլիճում լռություն էր տիրում — в зале царила тишина	ամբողջ ունեցվածքին տիրեց — он завладел всем имуществом
1782	հազարամյակ	millennium	тысячелетие	երրորդ հազարամյակի սկիզբը — начало третьего тысячелетия	
1783	հուլիս	July	июль	հուլիսին ծով ենք գնում — в июле мы едем на море	
1784	օգոստոս	August	август	օգոստոսին շատ շոգ է — в августе очень жарко	
1785	հոկտեմբեր	October	октябрь	հոկտեմբերին տերևները թափվում են — в октябре опадают листья	
1786	արծաթ	silver, silvern, made of silver	серебро; серебряный	մատանին մաքուր արծաթից է — кольцо из чистого серебра	արծաթի գինը բարձրացավ — цена серебра выросла
1787	ութերորդ	eighthly	восьмой	ութերորդ հարկում ենք ապրում — мы живём на восьмом этаже	
1788	իններորդ	ninthly	девятый	նա իններորդ դասարանում է — он в девятом классе	
1789	տասներորդ	tenthly	десятый	տասներորդ անգամ եմ ասում — я говорю в десятый раз	
1790	պան	round loaf, bread	каравай; круглый хлеб	փռից տաք պան առա — я купил в пекарне тёплый каравай	
1791	որսորդ	hunter, huntsman	охотник	որսորդը շներով անտառ գնաց — охотник пошёл в лес с собаками	
1792	արկղ	box, case, coffer	ящик	մի արկղ խնձոր գնեցինք — мы купили ящик яблок	փայտե արկղ — деревянный ящик
1793	փուշ	thorn; prickle	колючка; шип	մատիս փուշ է մտել — мне в палец вонзилась колючка	ձուկը շատ փուշ ունի — в рыбе много костей
1794	ուղեղ	brain	мозг	մարդու ուղեղը բարդ է — мозг человека сложен	ուղեղդ աշխատեցրու — шевели мозгами
1795	մազ	hair	волосы	նա երկար մազեր ունի — у неё длинные волосы	ամեն ինչ մազից էր կախված — всё висело на волоске
1796	ամ	year	год (книжн.)	երկու հազար ամ առաջ — две тысячи лет назад	
